"lati","longi","x","y","z"
-3.66667,32.5,0.841665014284328,0.53619975016266,-0.0639517916501372
54.81667,61.11667,0.27831789744863,0.504518882981043,0.817312574646527
23.69639,-5.01472,0.912182914185854,-0.0800418143144481,0.401890083267372
53.7,30.1,0.512181042634131,0.29690096570771,0.805928282248516
35.03333,-81.88333,0.115608350208125,-0.81061583322362,0.574052854961398
50.83333,34,0.523602220636562,0.353174157256969,0.775312020537725
-10.05944,33.395,0.822061107694711,0.541946505400947,-0.174669746949623
47.47083,0.97667,0.675867271995228,0.0115220219804686,0.736933289826976
-6.95,108.1,-0.30839361798557,0.943531460617433,-0.121003137194474
32.1025,-81.87278,0.119755665335612,-0.838590988301463,0.531435541678952
44.9,-90.28333,-0.00350275552556277,-0.708331177071389,0.705871570678681
-33.13333,19.38333,0.789936394134613,0.277922212556611,-0.546589184844745
42.53333,12.61667,0.719090852117855,0.160955533566441,0.676018980957457
-19.85,-47.55,0.63484447420711,-0.6940261314188,-0.339558864523594
21.16667,-100.86667,-0.175805216215937,-0.915812317171622,0.361082159166044
10.2,76.26667,0.233651259396448,0.956058619399668,0.177084740319583
-27.7,27.3,0.786776033528221,0.406085391995515,-0.46484204572462
54.61667,-6.21667,0.575638921088689,-0.0627038604898034,0.815296300989723
36.83333,-84.35,0.078798774268409,-0.796494404086626,0.599489297179262
38.4,-84.25,0.0785167283875425,-0.779750317998425,0.62114778027831
35.61667,8.83333,0.803289359713526,0.124834293128028,0.582359514243786
26.91667,83.96667,0.0937203028555121,0.886726849979474,0.452694155427425
-28.2,24.56667,0.801526200848344,0.366403498857873,-0.472550764869054
34.4,-87.06667,0.0422242795689362,-0.824032399396972,0.564967003424938
41.98444,59.685,0.375196766867875,0.641686602297638,0.668928763444663
-1.87089,-79.95756,0.174284639405523,-0.984153957730568,-0.0326473881121644
51.46667,84.76667,0.0568222511879305,0.620372943826195,0.782245896338457
26.68333,93.86667,-0.0602532304872253,0.89146817781592,0.449059056425118
25.73333,73.61667,0.254088691384971,0.864247591570625,0.434183184122378
19,81,0.14791169255948,0.933877672935568,0.325568154457157
24.225,76.525,0.212501502088548,0.8868369653465,0.410320982287187
22.37778,71.42722,0.294523289067452,0.876535543737032,0.380711797508976
14.88333,75.6,0.240346552905385,0.936088019635271,0.256851618647451
32.23333,76.46667,0.197945910190177,0.822396213824242,0.533368431880378
37.35172,27.32997,0.706194261326802,0.364961962847121,0.60670621469033
-7.5,111.5,-0.363365757923002,0.922457716707696,-0.130526192220052
12.73333,15.05,0.941949653952396,0.25327587889699,0.220413653360943
36.95,9.55,0.788084980415078,0.132587293114218,0.601117853127663
23.5,90.33333,-0.00533515579767375,0.917044555157416,0.398749068925246
50.75,25.3,0.57201784663076,0.270391597368168,0.774392644082186
45.5,119.03333,-0.340164106920491,0.612831279508759,0.713250449154182
32.91667,120.78333,-0.429630612971828,0.721189046354445,0.543418711322878
51.2,112.3,-0.237768675806595,0.57973993585197,0.779337964931474
13.05,3.16667,0.972685890094741,0.0538140045983249,0.225801266869104
32.33333,-6.3,0.83984815190714,-0.0927200991797642,0.534843963176417
36.4,-86.5,0.0491375908092436,-0.803392508174856,0.593418886603701
42.52,-82.26,0.0992632628744306,-0.730326589873656,0.675847524791679
42.45833,18.44167,0.699881265940434,0.23338498192599,0.675053822888976
52.55,-8.03333,0.602101850647694,-0.0849770976516529,0.793884282702035
30.3,76.63333,0.199601495367352,0.840006618935046,0.504527623815019
33.43333,127.26667,-0.505327727096611,0.664138563888205,0.550966293146764
-27.2,31.31667,0.759835204410854,0.462289895213556,-0.457097927058694
40.78167,-96.47167,-0.0853459282454634,-0.752378932924882,0.653178393566976
-17.3,15.83333,0.918536640434724,0.260496879916271,-0.297374874077786
48.9,11.21667,0.644818459620768,0.127872467385079,0.753563392301638
56.03333,13,0.54439082759545,0.12568252563231,0.829362724976608
34.41667,3.25,0.823622298342418,0.0467686634107444,0.565207043299997
25.37,-97.37,-0.11590533987757,-0.896094967153128,0.42846208937396
19.96722,-103.05167,-0.212254620756203,-0.915607829621335,0.341482471444362
50.18333,12.73333,0.624585160927165,0.141138180355904,0.768097253474722
47.83333,37.66667,0.531378790698943,0.410202659836359,0.741195223040803
51.75,4,0.617585867564868,0.0431858108201783,0.785316930880745
30.3,109.5,-0.288207357024459,0.81387246922632,0.504527623815019
47.86667,7.35,0.665345805996613,0.0858229816096906,0.741585716064124
1.16667,44.16667,0.717167338145976,0.696603506934096,0.0203608257134749
52.21667,11.25,0.600904715617726,0.119527379553122,0.790333302022346
46.25,-1.1,0.691385618308364,-0.0132752820570135,0.722363962059756
43.41667,-94.83333,-0.0612025244396514,-0.723791756002809,0.687298875995432
39.75,-97.03333,-0.0941421489671706,-0.763056366550936,0.639439001980585
